post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_datetime,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,followers_gained,caption_length,hashtags_count,performance_bucket_label,engagement_rate,total_engagement,follower_growth_rate,impression_reach_ratio
IG0000001,7,brand,3551,reel,Technology,Home Feed,1,30-11-2024 06:00,30-11-2024,6,Saturday,194,5,7,34,4327,6230,899,100,7,medium,5.546568061,240,25.31681217,1.439796626
IG0000002,20,creator,31095,image,Fitness,Hashtags,1,15-08-2025 15:00,15-08-2025,15,Friday,449,10,21,68,7451,8268,805,122,5,viral,7.354717488,548,2.58884065,1.109649711
IG0000003,15,brand,8167,reel,Beauty,Reels Feed,0,11-09-2025 16:00,11-09-2025,16,Thursday,114,2,1,22,1639,2616,758,115,8,high,8.480780964,139,9.281253826,1.59609518
IG0000004,11,creator,9044,carousel,Music,External,0,18-09-2025 03:00,18-09-2025,3,Thursday,91,0,7,0,2877,3171,402,115,7,medium,3.406326034,98,4.444935869,1.102189781
IG0000005,8,creator,15986,reel,Technology,Profile,0,21-03-2025 09:00,21-03-2025,9,Friday,154,8,5,21,5350,8503,155,112,9,low,3.514018692,188,0.969598399,1.589345794
IG0000006,7,brand,3551,carousel,Photography,Reels Feed,1,06-05-2025 08:00,06-05-2025,8,Tuesday,149,3,4,23,2668,3472,904,111,5,high,6.709145427,179,25.45761757,1.301349325
IG0000007,19,creator,3447,carousel,Food,Explore,1,21-09-2025 09:00,21-09-2025,9,Sunday,371,9,14,54,5018,7671,701,132,8,viral,8.927859705,448,20.33652451,1.528696692
IG0000008,11,brand,9044,reel,Technology,Profile,0,06-01-2025 18:00,06-01-2025,18,Monday,18,1,0,3,1078,1357,894,118,8,low,2.040816327,22,9.885006634,1.258812616
IG0000009,11,brand,9044,reel,Beauty,Reels Feed,0,13-10-2025 05:00,13-10-2025,5,Monday,132,4,7,17,1900,2436,739,112,7,viral,8.421052632,160,8.171163202,1.282105263
IG0000010,4,creator,4972,reel,Music,Hashtags,0,10-03-2025 11:00,10-03-2025,11,Monday,101,2,3,12,2155,2942,611,114,6,high,5.475638051,118,12.28881738,1.365197216
IG0000011,8,creator,15986,reel,Fitness,Home Feed,0,09-04-2025 10:00,09-04-2025,10,Wednesday,418,11,21,60,14307,20978,390,110,6,low,3.564688614,510,2.43963468,1.46627525
IG0000012,3,creator,10018,carousel,Beauty,Hashtags,1,03-05-2025 14:00,03-05-2025,14,Saturday,49,6,2,3,762,1098,240,121,8,high,7.874015748,60,2.395687762,1.440944882
IG0000013,2,brand,22291,image,Beauty,Explore,0,23-08-2025 19:00,23-08-2025,19,Saturday,111,1,7,24,4364,6329,493,116,8,low,3.276810266,143,2.211654928,1.450274977
